,days_present,days_expected,coverage_pct,first_date,last_date
REGN,14886,31862,46.72,2024-03-22 09:30:00-04:00,2026-03-20 19:15:00-04:00
VRTX,15226,31862,47.79,2024-03-22 09:30:00-04:00,2026-03-20 19:15:00-04:00
BIIB,15455,31862,48.51,2024-03-22 09:30:00-04:00,2026-03-20 16:00:00-04:00
DE,15610,31862,48.99,2024-03-22 09:15:00-04:00,2026-03-20 18:15:00-04:00
LMT,17830,31862,55.96,2024-03-22 09:15:00-04:00,2026-03-20 19:15:00-04:00
CAT,18522,31862,58.13,2024-03-22 07:15:00-04:00,2026-03-20 19:30:00-04:00
NOW,18615,31862,58.42,2024-03-22 07:00:00-04:00,2026-03-20 19:45:00-04:00
MS,18779,31862,58.94,2024-03-22 04:45:00-04:00,2026-03-20 19:45:00-04:00
MCD,18858,31862,59.19,2024-03-22 07:45:00-04:00,2026-03-20 19:30:00-04:00
HD,18946,31862,59.46,2024-03-22 07:15:00-04:00,2026-03-20 19:45:00-04:00
GS,18976,31862,59.56,2024-03-22 04:30:00-04:00,2026-03-20 19:45:00-04:00
RTX,19154,31862,60.12,2024-03-22 07:15:00-04:00,2026-03-20 19:45:00-04:00
NET,20945,31862,65.74,2024-03-22 06:45:00-04:00,2026-03-20 18:30:00-04:00
GE,21201,31862,66.54,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
LLY,22081,31862,69.3,2024-03-22 06:30:00-04:00,2026-03-20 19:45:00-04:00
HAL,22441,31862,70.43,2024-03-22 07:00:00-04:00,2026-03-20 19:45:00-04:00
SLB,22989,31862,72.15,2024-03-22 05:30:00-04:00,2026-03-20 19:00:00-04:00
LRCX,23029,31862,72.28,2024-03-22 07:30:00-04:00,2026-03-20 19:45:00-04:00
CRM,23466,31862,73.65,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
CVX,23472,31862,73.67,2024-03-22 07:00:00-04:00,2026-03-20 19:45:00-04:00
AMAT,23531,31862,73.85,2024-03-22 05:30:00-04:00,2026-03-20 19:45:00-04:00
JPM,23700,31862,74.38,2024-03-22 07:00:00-04:00,2026-03-20 19:45:00-04:00
C,24079,31862,75.57,2024-03-22 04:15:00-04:00,2026-03-20 19:45:00-04:00
SBUX,24363,31862,76.46,2024-03-22 05:30:00-04:00,2026-03-20 19:30:00-04:00
CRWD,24711,31862,77.56,2024-03-22 07:15:00-04:00,2026-03-20 19:45:00-04:00
SNOW,25428,31862,79.81,2024-03-22 04:15:00-04:00,2026-03-20 19:45:00-04:00
XOM,25761,31862,80.85,2024-03-22 04:45:00-04:00,2026-03-20 19:45:00-04:00
QCOM,26220,31862,82.29,2024-03-22 05:00:00-04:00,2026-03-20 19:45:00-04:00
MRNA,27435,31862,86.11,2024-03-22 07:45:00-04:00,2026-03-20 19:45:00-04:00
BAC,27556,31862,86.49,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
NKE,28463,31862,89.33,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
OXY,29584,31862,92.85,2024-03-22 04:45:00-04:00,2026-03-20 19:45:00-04:00
AVGO,29757,31862,93.39,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
MSTR,30173,31862,94.7,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
META,30463,31862,95.61,2024-03-22 05:00:00-04:00,2026-03-20 19:45:00-04:00
NVDA,30625,31862,96.12,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
SMCI,30850,31862,96.82,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
MSFT,30936,31862,97.09,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
TSLA,31203,31862,97.93,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
MU,31558,31862,99.05,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
PLTR,31645,31862,99.32,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
AMZN,31731,31862,99.59,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
AAPL,31743,31862,99.63,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
AMD,31787,31862,99.76,2024-03-22 04:00:00-04:00,2026-03-20 19:45:00-04:00
