forward_bars,feature,n_bars,IC_mean,IC_std,ICIR,t_stat,pct_positive
1,A1_bar_reversal,31857,0.09618,0.25009,0.385,68.639,0.65
2,A1_bar_reversal,31856,0.08633,0.25081,0.344,61.433,0.635
3,A1_bar_reversal,31855,0.07868,0.25075,0.314,56.0,0.622
4,A1_bar_reversal,31854,0.06923,0.24895,0.278,49.631,0.604
5,A1_bar_reversal,31853,0.06328,0.24864,0.255,45.424,0.599
6,A1_bar_reversal,31852,0.0581,0.24744,0.235,41.909,0.589
7,A1_bar_reversal,31851,0.05525,0.24766,0.223,39.816,0.586
8,A1_bar_reversal,31850,0.05115,0.24663,0.207,37.014,0.577
9,A1_bar_reversal,31849,0.04683,0.24744,0.189,33.779,0.571
10,A1_bar_reversal,31848,0.04473,0.24727,0.181,32.283,0.568
11,A1_bar_reversal,31847,0.04149,0.2475,0.168,29.916,0.565
12,A1_bar_reversal,31846,0.03827,0.24776,0.154,27.567,0.56
13,A1_bar_reversal,31845,0.03567,0.24817,0.144,25.649,0.555
14,A1_bar_reversal,31844,0.03369,0.24729,0.136,24.307,0.551
15,A1_bar_reversal,31843,0.0313,0.24684,0.127,22.625,0.546
