feature,forward_bars,n_bars,IC_mean,IC_std,ICIR,t_stat,pct_positive
A1_bar_reversal,1,31857,0.09618,0.25009,0.385,68.639,0.65
A2_short_rev,1,31844,0.08503,0.27197,0.313,55.793,0.624
A3_medium_rev,1,31834,0.04831,0.26579,0.182,32.427,0.573
A4_overnight_gap,1,1996,0.01118,0.33014,0.034,1.512,0.504
B1_vwap_deviation,1,31768,0.05704,0.26734,0.213,38.025,0.585
B2_price_position,1,31857,0.06706,0.24951,0.269,47.972,0.609
B3_open_gap,1,31361,0.02715,0.29553,0.092,16.27,0.537
C1_volume_shock,1,31541,0.00601,0.22638,0.027,4.717,0.508
C2_flow_imbalance,1,31861,0.06551,0.23808,0.275,49.119,0.606
C3_turnover_shock,1,31541,0.00583,0.22694,0.026,4.561,0.506
D1_vol_burst,1,31857,-0.00652,0.22565,-0.029,-5.161,0.484
D2_vol_zscore,1,31841,0.00037,0.22838,0.002,0.293,0.499
E1_residual_return,1,31799,0.08572,0.27076,0.317,56.455,0.626
E2_sector_residual,1,31858,0.08217,0.28052,0.293,52.282,0.617
