feature,mean,std,skew,kurtosis,pct_null,turnover_bpb
A1_bar_reversal,0.0001,0.9649,-0.018,0.792,0.2531,1.0707
A2_short_rev,0.0,0.9825,-0.012,-0.254,0.3051,0.6767
A3_medium_rev,0.0004,0.9683,-0.065,0.595,0.3834,0.3757
A4_overnight_gap,0.0008,0.9509,-0.138,1.354,0.9737,0.3609
B1_vwap_deviation,0.0007,0.9431,-0.02,1.372,0.2351,0.3472
B2_price_position,0.0001,0.9811,0.046,-0.536,0.2529,0.3714
B3_open_gap,0.0005,0.9564,-0.092,1.04,0.5135,0.1641
C1_volume_shock,-0.003,0.9732,0.408,0.417,0.2593,0.7028
C2_flow_imbalance,0.0,0.9846,0.001,-0.472,0.2229,0.6055
C3_turnover_shock,-0.003,0.9733,0.41,0.423,0.2593,0.6997
D1_vol_burst,-0.0002,0.9701,-0.003,-0.078,0.2531,1.0887
D2_vol_zscore,0.0049,0.9662,-0.268,0.57,0.0011,0.1553
D3_dispersion,-0.0101,0.968,0.539,1.155,0.0005,0.8882
E1_residual_return,0.0004,0.9437,-0.024,1.374,0.3064,0.6073
E2_sector_residual,0.0004,0.9435,-0.031,1.344,0.3045,0.6024
