feature,IC_mean,IC_std,ICIR,t_stat,pct_positive,n_bars,weight,active
A1_bar_reversal,0.08412,0.29085,0.289,11.141,0.62,1484,0.1924,True
B1_vwap_deviation,0.06203,0.31755,0.195,7.525,0.579,1484,0.1419,True
B3_open_gap,0.0598,0.32967,0.181,6.988,0.566,1484,0.1368,True
C2_flow_imbalance,0.04921,0.28672,0.172,6.612,0.56,1484,0.1125,True
B2_price_position,0.04058,0.29333,0.138,5.329,0.553,1484,0.0928,True
E1_residual_return,0.028,0.32017,0.087,3.368,0.538,1484,0.064,True
A2_short_rev,0.02787,0.32223,0.086,3.332,0.545,1484,0.0637,True
A3_medium_rev,0.02673,0.31039,0.086,3.318,0.537,1484,0.0611,True
D1_vol_burst,0.02006,0.27665,0.073,2.793,0.524,1484,0.0459,True
E2_sector_residual,0.02205,0.33513,0.066,2.534,0.531,1484,0.0504,True
C3_turnover_shock,0.0085,0.29626,0.029,1.106,0.513,1484,0.0194,True
C1_volume_shock,0.0083,0.29383,0.028,1.088,0.513,1484,0.019,True
A4_overnight_gap,0.00354,0.33619,0.011,0.406,0.494,1484,0.0,False
D2_vol_zscore,-0.00372,0.30149,-0.012,-0.476,0.491,1484,0.0,False
