,value
total_return,-0.0033026784487117933
cumulative_return,-0.0033021270593833383
average_return,-3.035043253109686e-06
annual_return,-0.019885603394374663
cagr,-0.25831273188875625
best_trade,0.0019410554199094949
worst_trade,-0.0011681639326854374
volatility_annual,0.03297389057785844
max_drawdown,-0.004184496992560989
sharpe_ratio,-2.3356846712960966
sortino_ratio,-0.16627243310463116
win_rate,0.015625
loss_rate,0.984375
win_loss_ratio,0.5892567056694964
avg_win,0.00032524133367589506
avg_loss,-0.0005519518582420971
positive_periods,17.0
negative_periods,16.0
total_periods,1088.0
avg_positions,29.235294117647058
avg_gross_leverage,1.3333011212979426
annual_turnover,3014.0349370461145
avg_holding_period_bars,8.5
transaction_cost_bps,1.0
annual_cost,0.30140349370461145
net_return_annual,-0.3212890970989861
